index,a,b,c,d,e
0,abandon,abandons,abandoned,abandoned,abandoning
1,abase,abases,abased,abased,abasing
2,abate,abates,abated,abated,abating
3,abbreviate,abbreviates,abbreviated,abbreviated,abbreviating
4,abdicate,abdicates,abdicated,abdicated,abdicating
5,abduct,abducts,abducted,abducted,abducting
6,abet,abets,abetted,abetted,abetting
7,abhor,abhors,abhorred,abhorred,abhorring
8,abide,abides,abided,abided,abiding
9,abide,abides,abode,abode,abiding
10,abjure,abjures,abjured,abjured,abjuring
11,abolish,abolishes,abolished,abolished,abolishing
12,abominate,abominates,abominated,abominated,abominating
13,abort,aborts,aborted,aborted,aborting
14,abound,abounds,abounded,abounded,abounding
15,abrade,abrades,abraded,abraded,abrading
16,abridge,abridges,abridged,abridged,abridging
17,abrogate,abrogates,abrogated,abrogated,abrogating
18,abscond,absconds,absconded,absconded,absconding
19,abseil,abseils,abseiled,abseiled,abseiling
20,absent,absents,absented,absented,absenting
21,absolve,absolves,absolved,absolved,absolving
22,absorb,absorbs,absorbed,absorbed,absorbing
23,abstain,abstains,abstained,abstained,abstaining
24,abstract,abstracts,abstracted,abstracted,abstracting
25,abuse,abuses,abused,abused,abusing
26,abut,abuts,abutted,abutted,abutting
27,accede,accedes,acceded,acceded,acceding
28,accelerate,accelerates,accelerated,accelerated,accelerating
29,accent,accents,accented,accented,accenting
30,accentuate,accentuates,accentuated,accentuated,accentuating
31,accept,accepts,accepted,accepted,accepting
32,access,accesses,accessed,accessed,accessing
33,accessorise,accessorises,accessorised,accessorised,accessorising
34,accessorize,accessorizes,accessorized,accessorized,accessorizing
35,acclaim,acclaims,acclaimed,acclaimed,acclaiming
36,acclimate,acclimates,acclimated,acclimated,acclimating
37,acclimatise,acclimatises,acclimatised,acclimatised,acclimatising
38,acclimatize,acclimatizes,acclimatized,acclimatized,acclimatizing
39,accommodate,accommodates,accommodated,accommodated,accommodating
40,accompany,accompanies,accompanied,accompanied,accompanying
41,accomplish,accomplishes,accomplished,accomplished,accomplishing
42,accord,accords,accorded,accorded,according
43,accost,accosts,accosted,accosted,accosting
44,account,accounts,accounted,accounted,accounting
45,accoutre,accoutres,accoutred,accoutred,accoutring
46,accredit,accredits,accredited,accredited,accrediting
47,accrue,accrues,accrued,accrued,accruing
48,acculturate,acculturates,acculturated,acculturated,acculturating
49,accumulate,accumulates,accumulated,accumulated,accumulating
50,accuse,accuses,accused,accused,accusing
51,accustom,accustoms,accustomed,accustomed,accustoming
52,ace,aces,aced,aced,acing
53,ache,aches,ached,ached,aching
54,achieve,achieves,achieved,achieved,achieving
55,acidify,acidifies,acidified,acidified,acidifying
56,acknowledge,acknowledges,acknowledged,acknowledged,acknowledging
57,acquaint,acquaints,acquainted,acquainted,acquainting
58,acquiesce,acquiesces,acquiesced,acquiesced,acquiescing
59,acquire,acquires,acquired,acquired,acquiring
60,acquit,acquits,acquitted,acquitted,acquitting
61,act,acts,acted,acted,acting
62,action,actions,actioned,actioned,actioning
63,activate,activates,activated,activated,activating
64,actualise,actualises,actualised,actualised,actualising
65,actualize,actualizes,actualized,actualized,actualizing
66,actuate,actuates,actuated,actuated,actuating
67,ad-lib,ad-libs,ad-libbed,ad-libbed,ad-libbing
68,adapt,adapts,adapted,adapted,adapting
69,add,adds,added,added,adding
70,addle,addles,addled,addled,addling
71,address,addresses,addressed,addressed,addressing
72,adduce,adduces,adduced,adduced,adducing
73,adhere,adheres,adhered,adhered,adhering
74,adjoin,adjoins,adjoined,adjoined,adjoining
75,adjourn,adjourns,adjourned,adjourned,adjourning
76,adjudge,adjudges,adjudged,adjudged,adjudging
77,adjudicate,adjudicates,adjudicated,adjudicated,adjudicating
78,adjure,adjures,adjured,adjured,adjuring
79,adjust,adjusts,adjusted,adjusted,adjusting
80,adlib,adlibs,adlibbed,adlibbed,adlibbing
81,administer,administers,administered,administered,administering
82,admire,admires,admired,admired,admiring
83,admit,admits,admitted,admitted,admitting
